epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0337,1.78301,2.55572,1.70623,0.50947,0.42132,0.40397,0.18883,1.8243,4.27942,1.75229,0.000655367,0.000655367,0.000655367
2,43.2731,1.78376,1.90907,1.73104,0.12048,0.2132,0.05691,0.01698,2.74061,4.76263,2.5672,0.00127841,0.00127841,0.00127841
3,62.8375,1.81744,1.9087,1.77254,0.41891,0.32386,0.3132,0.14372,2.05991,3.02061,2.11274,0.00185745,0.00185745,0.00185745
4,85.6065,1.8701,1.90755,1.81782,0.10148,0.35279,0.05923,0.02149,2.30422,6.89448,2.30536,0.001802,0.001802,0.001802
5,105.372,1.80023,1.86094,1.76847,0.45903,0.42893,0.43548,0.20815,1.80721,2.13174,1.78804,0.001736,0.001736,0.001736
6,124.574,1.72784,1.72475,1.71367,0.54076,0.46701,0.4792,0.23222,1.79474,2.38217,1.74215,0.00167,0.00167,0.00167
7,145.021,1.721,1.7554,1.69247,0.57864,0.46954,0.5166,0.23788,1.82564,1.91558,1.71993,0.001604,0.001604,0.001604
8,164.362,1.68521,1.67393,1.69101,0.59137,0.45178,0.48342,0.21965,1.93057,1.93055,1.77636,0.001538,0.001538,0.001538
9,184.725,1.67048,1.6443,1.66918,0.63209,0.55379,0.56793,0.27319,1.69652,1.72132,1.64154,0.001472,0.001472,0.001472
10,204.485,1.61853,1.55871,1.58356,0.67762,0.51523,0.6269,0.27435,1.80366,1.74583,1.65323,0.001406,0.001406,0.001406
11,223.694,1.60198,1.5128,1.59459,0.62473,0.55584,0.60841,0.3043,1.71582,1.56484,1.61638,0.00134,0.00134,0.00134
12,243.953,1.57466,1.46914,1.57679,0.63899,0.52284,0.60567,0.3215,1.55091,1.5089,1.5018,0.001274,0.001274,0.001274
13,263.098,1.54644,1.4168,1.54356,0.70185,0.58551,0.66658,0.35756,1.57861,1.46067,1.52536,0.001208,0.001208,0.001208
14,282.478,1.52882,1.37421,1.55474,0.68625,0.61929,0.66877,0.33501,1.62865,1.46432,1.55426,0.001142,0.001142,0.001142
15,302.277,1.49495,1.35098,1.53108,0.69479,0.61929,0.68591,0.37137,1.51081,1.46022,1.50002,0.001076,0.001076,0.001076
16,321.426,1.49334,1.351,1.53036,0.73748,0.63456,0.71634,0.36742,1.58348,1.41093,1.4999,0.00101,0.00101,0.00101
17,341.627,1.48971,1.32087,1.52155,0.70853,0.55528,0.64856,0.36483,1.52941,1.4715,1.49142,0.000944,0.000944,0.000944
18,360.753,1.44703,1.26818,1.50369,0.7845,0.55076,0.69306,0.38784,1.54913,1.45786,1.50448,0.000878,0.000878,0.000878
19,379.79,1.43567,1.24033,1.46411,0.74215,0.61362,0.72241,0.4122,1.53178,1.36301,1.46689,0.000812,0.000812,0.000812
20,400.377,1.36319,1.17384,1.43475,0.68851,0.64213,0.70313,0.39041,1.50683,1.32785,1.46937,0.000746,0.000746,0.000746
21,421.34,1.37417,1.15614,1.46833,0.74349,0.63452,0.71544,0.40293,1.54774,1.34249,1.5032,0.00068,0.00068,0.00068
22,441.682,1.34939,1.05429,1.44978,0.7704,0.65575,0.73657,0.42881,1.45763,1.2386,1.44914,0.000614,0.000614,0.000614
23,460.57,1.30053,0.98295,1.40852,0.7557,0.65949,0.75449,0.43273,1.43951,1.24069,1.44312,0.000548,0.000548,0.000548
24,479.5,1.2571,0.94252,1.39127,0.742,0.66425,0.75357,0.43981,1.44501,1.19264,1.43557,0.000482,0.000482,0.000482
25,499.539,1.2576,0.91574,1.3926,0.72004,0.67259,0.7431,0.44588,1.44781,1.36086,1.43868,0.000416,0.000416,0.000416
26,518.504,1.23666,0.88737,1.35183,0.78713,0.63198,0.74724,0.43887,1.49727,1.22274,1.48906,0.00035,0.00035,0.00035
27,537.63,1.21795,0.86522,1.35423,0.75258,0.69289,0.77347,0.45181,1.41636,1.17933,1.43011,0.000284,0.000284,0.000284
28,557.361,1.15933,0.79894,1.31069,0.77598,0.68274,0.77236,0.45439,1.41464,1.18242,1.42052,0.000218,0.000218,0.000218
29,576.27,1.13232,0.80434,1.28506,0.78188,0.69797,0.77311,0.46496,1.40364,1.16016,1.41563,0.000152,0.000152,0.000152
30,595.657,1.11915,0.75817,1.27484,0.77334,0.68782,0.77151,0.46092,1.3949,1.15653,1.41081,8.6e-05,8.6e-05,8.6e-05
