epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.402,1.71974,2.37228,1.63522,0.38851,0.38071,0.30673,0.14221,1.67313,2.393,1.52658,0.000660969,0.000660969,0.000660969
2,76.4489,1.69503,1.97997,1.65104,0.47148,0.37359,0.34982,0.1518,1.98832,2.19432,1.80243,0.00128382,0.00128382,0.00128382
3,112.884,1.70329,1.84344,1.63903,0.44494,0.4632,0.3927,0.17647,1.91578,2.31588,1.78714,0.00186268,0.00186268,0.00186268
4,148.9,1.68891,1.70771,1.62352,0.55896,0.4797,0.49073,0.22404,1.8184,1.89092,1.68955,0.001802,0.001802,0.001802
5,184.621,1.64705,1.64678,1.60859,0.62051,0.5165,0.56708,0.29147,1.64779,1.9091,1.57477,0.001736,0.001736,0.001736
6,221.225,1.61071,1.57565,1.56767,0.63683,0.55457,0.59319,0.29829,1.62961,1.76739,1.56309,0.00167,0.00167,0.00167
7,256.442,1.57443,1.50005,1.53649,0.69089,0.54949,0.63584,0.32157,1.64052,1.58476,1.55735,0.001604,0.001604,0.001604
8,293.313,1.54463,1.47764,1.53005,0.66708,0.56091,0.60729,0.32267,1.6823,1.57946,1.62041,0.001538,0.001538,0.001538
9,328.483,1.53435,1.42702,1.52297,0.65859,0.55838,0.61623,0.32402,1.68344,1.523,1.56377,0.001472,0.001472,0.001472
10,365.08,1.4646,1.32923,1.47628,0.683,0.62888,0.66585,0.3676,1.58364,1.39482,1.47941,0.001406,0.001406,0.001406
11,400.632,1.48157,1.31819,1.47647,0.68288,0.59898,0.6623,0.35473,1.58848,1.51806,1.4928,0.00134,0.00134,0.00134
12,436.805,1.433,1.25203,1.44877,0.64492,0.61675,0.65945,0.38394,1.47711,1.41892,1.45695,0.001274,0.001274,0.001274
13,472.109,1.41455,1.23988,1.42856,0.67351,0.63352,0.68437,0.37602,1.49369,1.38722,1.45296,0.001208,0.001208,0.001208
14,509.096,1.3931,1.20997,1.41619,0.76282,0.59391,0.70848,0.39536,1.5044,1.31698,1.4409,0.001142,0.001142,0.001142
15,544.688,1.37008,1.15255,1.40721,0.74448,0.62857,0.72663,0.43458,1.44064,1.2751,1.38079,0.001076,0.001076,0.001076
16,582.595,1.34788,1.12192,1.3811,0.71084,0.64848,0.70337,0.41126,1.44432,1.26562,1.40445,0.00101,0.00101,0.00101
17,617.884,1.3216,1.09262,1.36901,0.74348,0.65228,0.7322,0.4288,1.45362,1.21969,1.4338,0.000944,0.000944,0.000944
18,654.211,1.30044,1.07128,1.3571,0.80092,0.66372,0.75202,0.437,1.45291,1.20243,1.39909,0.000878,0.000878,0.000878
19,692.075,1.28726,1.04812,1.3455,0.75391,0.68528,0.73592,0.4284,1.43855,1.21614,1.41089,0.000812,0.000812,0.000812
20,727.495,1.29422,1.01323,1.34128,0.72393,0.63706,0.69613,0.40271,1.46027,1.31228,1.42396,0.000746,0.000746,0.000746
21,765.128,1.24579,0.92244,1.32988,0.78454,0.64693,0.73771,0.43465,1.44748,1.21466,1.39732,0.00068,0.00068,0.00068
22,798.35,1.17176,0.84027,1.28297,0.77223,0.66117,0.76966,0.46379,1.38707,1.14737,1.37044,0.000614,0.000614,0.000614
23,833.461,1.15351,0.80035,1.27237,0.77276,0.66117,0.7592,0.46479,1.39326,1.13259,1.39384,0.000548,0.000548,0.000548
24,867.206,1.11195,0.76149,1.23602,0.76646,0.66244,0.74868,0.44093,1.39311,1.16197,1.39301,0.000482,0.000482,0.000482
25,900.467,1.09158,0.7303,1.21849,0.76064,0.70431,0.76301,0.46287,1.3916,1.13806,1.39824,0.000416,0.000416,0.000416
26,935.553,1.069,0.70326,1.20701,0.74627,0.69924,0.7592,0.44803,1.42549,1.11591,1.42069,0.00035,0.00035,0.00035
27,969.118,1.04869,0.68742,1.19472,0.80425,0.67893,0.7652,0.47126,1.37073,1.1169,1.37839,0.000284,0.000284,0.000284
28,1004.09,1.00669,0.65727,1.15908,0.78166,0.66244,0.75949,0.45756,1.39609,1.09856,1.39004,0.000218,0.000218,0.000218
29,1037.34,1.00388,0.64025,1.1674,0.77962,0.70034,0.76822,0.47161,1.37887,1.10159,1.39677,0.000152,0.000152,0.000152
30,1070.65,0.96201,0.60709,1.14676,0.79,0.68745,0.76942,0.4712,1.37598,1.10525,1.37544,8.6e-05,8.6e-05,8.6e-05
